field,time
63.0,15290
67.0,15306
66.0,15322
64.0,15337
66.0,15353
67.0,15369
65.0,15384
63.0,15400
65.0,15415
63.0,15431
66.0,15447
62.0,15462
67.0,15478
67.0,15493
63.0,15509
62.0,15525
65.0,15540
64.0,15556
67.0,15572
63.0,15587
67.0,15603
64.0,15619
66.0,15634
64.0,15650
63.0,15666
67.0,15681
65.0,15697
62.0,15713
62.0,15728
67.0,15744
63.0,15760
67.0,15775
66.0,15791
71.0,15807
66.0,15822
67.0,15838
67.0,15853
65.0,15869
66.0,15885
68.0,15900
67.0,15916
66.0,15932
63.0,15947
65.0,15963
63.0,15979
67.0,15994
66.0,16010
64.0,16026
66.0,16041
65.0,16057
66.0,16073
65.0,16088
63.0,16104
67.0,16120
63.0,16135
67.0,16151
63.0,16167
62.0,16182
64.0,16198
63.0,16214
63.0,16229
62.0,16245
64.0,16260
65.0,16276
66.0,16292
68.0,16307
64.0,16323
64.0,16339
66.0,16354
68.0,16370
67.0,16386
66.0,16401
61.0,16417
62.0,16432
67.0,16448
63.0,16464
64.0,16479
63.0,16495
64.0,16510
68.0,16526
68.0,16542
63.0,16557
64.0,16573
64.0,16589
61.0,16604
64.0,16620
64.0,16636
67.0,16651
65.0,16667
65.0,16683
63.0,16698
67.0,16714
65.0,16729
62.0,16745
63.0,16761
62.0,16776
67.0,16792
65.0,16808
67.0,16823
67.0,16839
66.0,16855
64.0,16870
66.0,16886
67.0,16901
65.0,16917
61.0,16932
63.0,16948
67.0,16964
67.0,16979
66.0,16995
67.0,17011
67.0,17026
69.0,17042
63.0,17057
63.0,17073
67.0,17089
62.0,17104
61.0,17120
65.0,17136
67.0,17151
67.0,17167
70.0,17183
63.0,17198
63.0,17214
66.0,17230
57.0,17245
62.0,17261
62.0,17277
67.0,17292
64.0,17308
67.0,17323
63.0,17339
67.0,17355
67.0,17370
67.0,17386
67.0,17402
62.0,17417
64.0,17433
62.0,17448
63.0,17464
62.0,17480
66.0,17495
67.0,17511
67.0,17527
62.0,17542
63.0,17558
67.0,17574
63.0,17589
67.0,17605
66.0,17620
69.0,17636
63.0,17652
63.0,17667
66.0,17683
65.0,17698
66.0,17714
63.0,17730
66.0,17745
64.0,17761
67.0,17777
63.0,17792
67.0,17808
63.0,17823
65.0,17839
62.0,17855
62.0,17870
67.0,17886
59.0,17902
67.0,17917
66.0,17933
63.0,17949
67.0,17964
66.0,17980
65.0,17996
65.0,18011
63.0,18027
67.0,18042
64.0,18058
62.0,18074
62.0,18089
65.0,18105
64.0,18121
63.0,18136
62.0,18152
67.0,18167
63.0,18183
63.0,18199
62.0,18214
67.0,18230
63.0,18245
65.0,18261
63.0,18277
61.0,18293
67.0,18308
62.0,18324
67.0,18339
63.0,18355
67.0,18371
66.0,18386
